frame,timestamp,camera_x_m,camera_y_m,camera_z_m,roll_deg,pitch_deg,yaw_deg,raw_camera_x_m,raw_camera_y_m,raw_camera_z_m,detected_tag_count,inlier_count,reprojection_rmse_px,detected_ids,selected_view,quality_status
312,5.205200,0.3986280,-0.1651578,0.8757107,44.1376,-72.0671,-60.9948,0.3986280,-0.1651578,0.8757107,24,7,0.3022,0 3 7 9 10 11 12 13 15 16 17 18 19 20 21 23 24 25 27 29 32 33 34 35,h-090,valid
324,5.405400,0.3645415,-0.3383706,0.9025310,57.1046,-73.9883,-78.1370,0.3645415,-0.3383706,0.9025310,22,4,0.2524,3 7 8 9 11 14 15 16 17 18 19 20 22 23 26 27 29 31 32 33 34 35,h-060,valid
336,5.605600,0.3332989,-0.4695373,0.9144990,58.7972,-72.4491,-80.4676,0.3332989,-0.4695373,0.9144990,16,13,0.9728,7 8 9 10 11 15 16 17 21 23 27 29 32 33 34 35,tracked,valid
348,5.805800,0.2884898,-0.5518377,0.9246650,59.5655,-69.6249,-81.3415,0.2884898,-0.5518377,0.9246650,11,8,0.6377,3 4 9 10 11 15 16 17 29 34 35,tracked,valid
360,6.006000,0.2338229,-0.5975732,0.9269993,66.7577,-70.6933,-85.9021,0.2338229,-0.5975732,0.9269993,9,5,0.5502,4 5 7 10 17 27 28 34 35,tracked,valid
372,6.206200,0.1600205,-0.6135466,0.9129726,78.8759,-70.3515,-92.8883,0.1600205,-0.6135466,0.9129726,12,8,0.5802,5 7 10 11 15 17 23 27 29 32 34 35,tracked,valid
384,6.406400,0.0952764,-0.5676977,0.8934074,85.1204,-68.5321,-92.8942,0.0952764,-0.5676977,0.8934074,19,4,0.2478,3 5 7 9 10 11 16 17 20 21 22 23 24 27 29 32 33 34 35,h-060,valid
396,6.606600,0.0300801,-0.4487277,0.8841384,87.8434,-68.4806,-92.0075,0.0300801,-0.4487277,0.8841384,19,7,0.3636,1 4 5 7 10 11 16 17 21 22 23 26 27 28 29 31 32 34 35,h-090,valid
408,6.806800,-0.0310317,-0.3986887,0.8535427,93.3505,-64.2113,-95.0621,-0.0310317,-0.3986887,0.8535427,23,6,0.4926,0 2 3 4 5 7 9 10 11 12 14 15 16 17 18 21 23 27 28 30 33 34 35,h-090,valid
420,7.007000,-0.0858759,-0.3022542,0.8535618,101.2086,-63.8038,-100.5343,-0.0858759,-0.3022542,0.8535618,27,9,1.0160,2 3 4 5 6 7 8 9 10 11 13 16 17 18 20 21 22 23 27 28 29 30 31 32 33 34 35,h-060,valid
432,7.207200,-0.1236117,-0.2266607,0.8705460,108.3766,-65.8071,-102.5339,-0.1236117,-0.2266607,0.8705460,30,5,0.8268,1 2 3 4 5 6 7 8 9 10 11 12 15 16 17 18 19 20 22 23 24 26 27 29 30 31 32 33 34 35,h-090,valid
444,7.407400,-0.1821415,-0.1889216,0.8573505,113.2292,-67.3716,-101.0230,-0.1821415,-0.1889216,0.8573505,29,9,0.4038,0 1 2 3 4 5 7 8 9 10 11 13 14 15 16 17 18 20 22 23 26 27 28 29 31 32 33 34 35,h-090,valid
456,7.607600,-0.2628598,-0.1204311,0.8222089,106.0313,-68.8227,-91.0942,-0.2628598,-0.1204311,0.8222089,34,4,0.3970,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35,h-060,valid
468,7.807800,-0.3230660,-0.1327367,0.8034647,100.1831,-69.0056,-82.6785,-0.3230660,-0.1327367,0.8034647,34,6,0.6782,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35,h-060,valid
480,8.008000,-0.3400495,-0.2219556,0.7988511,117.5953,-69.9554,-95.9766,-0.3400495,-0.2219556,0.7988511,27,6,0.4103,0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 20 21 22 23 26 27 28 29 32 35,h-060,valid
492,8.208200,-0.3366420,-0.3060669,0.8271554,137.1860,-74.4877,-115.7497,-0.3366420,-0.3060669,0.8271554,21,6,0.2917,3 4 5 7 9 10 11 12 14 15 16 17 20 21 22 23 26 27 33 34 35,h-090,valid
504,8.408400,-0.2789120,-0.4468601,0.8593894,146.3207,-75.1154,-125.2810,-0.2789120,-0.4468601,0.8593894,15,4,0.2367,1 2 3 4 5 7 10 13 15 16 17 22 29 33 35,h-090,valid
516,8.608600,-0.2816965,-0.6047614,0.8856321,146.0276,-71.2793,-128.6515,-0.2816965,-0.6047614,0.8856321,16,6,0.2604,2 3 4 5 7 9 10 11 15 16 17 26 28 32 34 35,h-060,valid
528,8.808800,-0.2848196,-0.6742083,0.9371137,127.5590,-72.8382,-113.6777,-0.2848196,-0.6742083,0.9371137,9,6,0.5732,3 4 10 11 16 17 28 29 35,tracked,valid
540,9.009000,,,,,,,,,,7,,,11 15 16 17 32 34 35,,insufficient_tags
552,9.209200,,,,,,,,,,1,,,4,,insufficient_tags
564,9.409400,-0.2248028,-0.7119889,1.0352589,91.4592,-68.6624,-87.4405,-0.2248028,-0.7119889,1.0352589,11,9,0.7541,2 4 5 7 10 11 16 17 29 32 35,tracked,valid
576,9.609600,,,,,,,,,,4,,,2 10 17 23,,insufficient_tags
588,9.809800,-0.2062101,-0.6820583,1.0393835,94.7832,-66.3429,-91.7011,-0.2062101,-0.6820583,1.0393835,13,13,1.0730,5 7 9 10 11 15 17 22 23 26 28 29 35,tracked,valid
600,10.010000,,,,,,,,,,13,,,0 5 7 9 10 17 19 22 28 29 32 33 35,,insufficient_tags
612,10.210200,,,,,,,,,,15,,,0 2 4 5 6 7 12 16 17 22 23 29 33 34 35,,insufficient_tags
624,10.410400,-0.1473859,-0.6595859,1.0288864,89.4712,-64.0157,-89.7851,-0.1473859,-0.6595859,1.0288864,11,5,0.3741,4 5 7 16 17 20 21 23 28 34 35,h-060,valid
