frame,timestamp,camera_x_m,camera_y_m,camera_z_m,roll_deg,pitch_deg,yaw_deg,raw_camera_x_m,raw_camera_y_m,raw_camera_z_m,detected_tag_count,inlier_count,reprojection_rmse_px,detected_ids,selected_view,quality_status
324,5.405400,-0.3095842,-0.3758401,0.9360389,-162.0956,-85.9484,172.1791,-0.3095842,-0.3758401,0.9360389,26,4,0.1808,0 1 2 3 4 5 7 8 9 10 11 14 15 16 17 21 22 23 25 27 28 29 30 31 34 35,h-120,valid
336,5.605600,-0.2777255,-0.4776705,0.9718376,-161.3257,-82.0171,170.6609,-0.2777255,-0.4776705,0.9718376,20,12,0.3290,0 1 2 3 5 7 8 9 11 12 15 16 17 20 21 22 23 31 33 34,h-090,valid
348,5.805800,-0.2243117,-0.5511896,1.0113493,-166.2438,-80.7609,175.6698,-0.2243117,-0.5511896,1.0113493,16,8,0.3686,1 2 4 5 7 9 11 12 16 17 18 21 23 28 29 35,h-090,valid
360,6.006000,-0.2127782,-0.6271310,1.0426814,178.5702,-79.3797,-170.8052,-0.2127782,-0.6271310,1.0426814,16,10,0.5824,2 3 4 5 9 10 11 12 15 16 17 19 23 27 33 35,h-060,valid
372,6.206200,-0.1636891,-0.6681690,1.0797730,151.7811,-80.7975,-147.9484,-0.1636891,-0.6681690,1.0797730,13,10,0.7299,1 2 4 5 16 17 21 23 28 29 33 34 35,tracked,valid
384,6.406400,-0.1357791,-0.7130310,1.0904593,106.8027,-76.6287,-101.8286,-0.1357791,-0.7130310,1.0904593,12,6,0.8928,2 7 10 11 15 17 21 23 26 32 33 35,tracked,valid
396,6.606600,-0.0967353,-0.7339949,1.0933623,102.6544,-68.6283,-98.2822,-0.0967353,-0.7339949,1.0933623,8,6,0.6998,2 4 7 10 22 23 33 35,tracked,valid
408,6.806800,-0.0530589,-0.7376583,1.1124275,105.9316,-64.5362,-102.1356,-0.0530589,-0.7376583,1.1124275,8,6,0.6112,2 4 5 7 8 11 23 35,tracked,valid
420,7.007000,-0.0343921,-0.7626877,1.1037761,105.8274,-58.1227,-102.0614,-0.0343921,-0.7626877,1.1037761,7,6,0.8196,5 15 17 27 29 34 35,tracked,valid
432,7.207200,,,,,,,,,,3,,,10 23 32,,insufficient_tags
444,7.407400,,,,,,,,,,12,,,1 2 5 7 11 16 17 23 27 29 33 35,,insufficient_tags
456,7.607600,,,,,,,,,,1,,,8,,insufficient_tags
468,7.807800,,,,,,,,,,12,,,2 4 5 7 10 11 17 21 23 26 29 35,,insufficient_tags
480,8.008000,-0.0052680,-0.7420958,1.0781837,100.4568,-51.4349,-101.0526,-0.0052680,-0.7420958,1.0781837,13,4,0.3540,2 3 5 7 10 11 14 16 17 23 29 34 35,h-120,valid
492,8.208200,,,,,,,,,,12,,,3 5 7 11 12 15 16 17 23 27 33 35,,insufficient_tags
504,8.408400,,,,,,,,,,14,,,2 5 7 10 11 14 15 17 22 23 28 29 32 35,,insufficient_tags
516,8.608600,,,,,,,,,,13,,,4 5 7 9 10 11 16 17 23 26 32 34 35,,insufficient_tags
528,8.808800,-0.0146931,-0.7151478,1.0996539,101.4611,-51.9051,-103.1260,-0.0146931,-0.7151478,1.0996539,10,7,1.1993,1 10 11 12 14 16 17 23 26 35,tracked,valid
540,9.009000,,,,,,,,,,12,,,2 4 5 8 9 10 11 17 23 27 29 32,,insufficient_tags
552,9.209200,0.0128873,-0.6765983,1.0992384,97.9970,-54.4049,-99.5052,0.0128873,-0.6765983,1.0992384,11,4,0.2969,4 7 9 10 11 17 23 29 32 33 35,h-120,valid
564,9.409400,-0.0176650,-0.7354258,1.0822881,98.9681,-51.5794,-100.5966,-0.0176650,-0.7354258,1.0822881,10,9,0.7837,5 7 10 11 17 20 23 27 29 35,tracked,valid
576,9.609600,,,,,,,,,,11,,,4 5 10 11 17 20 23 26 32 34 35,,insufficient_tags
588,9.809800,,,,,,,,,,11,,,2 4 5 8 10 11 17 23 28 29 35,,insufficient_tags
600,10.010000,0.0175162,-0.6971811,1.0986233,97.3274,-52.9850,-99.0572,0.0175162,-0.6971811,1.0986233,8,5,0.7009,2 4 8 16 17 23 29 35,tracked,valid
612,10.210200,0.0124751,-0.6949041,1.1072399,96.8968,-51.2837,-98.1536,0.0124751,-0.6949041,1.1072399,9,6,1.1492,7 15 16 17 23 32 33 34 35,tracked,valid
624,10.410400,,,,,,,,,,14,,,1 2 3 4 5 8 9 10 11 17 22 23 29 35,,insufficient_tags
636,10.610600,,,,,,,,,,10,,,4 7 9 11 15 17 20 23 32 35,,insufficient_tags
